scenario,actual_cluster_n,actual_cluster_size,estimated_cluster_n,estimate_cluster_size
Cluster = 4;N = 100,10,4.969072164948453,22,3.590909090909091
Cluster = 4;N = 100,11,5.09,20,4.2
Cluster = 4;N = 100,10,4.757575757575758,20,4.1
Cluster = 4;N = 100,10,4.704081632653061,23,3.739130434782609
Cluster = 4;N = 100,10,4.814432989690721,23,3.608695652173913
Cluster = 4;N = 100,13,6.121212121212122,24,3.8333333333333335
Cluster = 4;N = 100,9,4.44,23,3.8260869565217392
Cluster = 5;N = 100,11,5.083333333333335,18,4.944444444444445
Cluster = 5;N = 100,10,4.63,19,4.157894736842105
Cluster = 5;N = 100,9,4.510000000000001,19,4.157894736842105
Cluster = 5;N = 100,11,5.151515151515151,19,4.842105263157895
Cluster = 5;N = 100,11,5.09,19,4.842105263157895
Cluster = 5;N = 100,10,4.819999999999999,19,4.315789473684211
Cluster = 5;N = 100,11,5.255102040816325,18,4.388888888888889
Cluster = 5;N = 100,11,5.25,18,4.888888888888889
Cluster = 5;N = 100,10,4.969999999999999,17,4.176470588235294
Cluster = 5;N = 100,12,5.79,19,4.578947368421052
Cluster = 5;N = 100,11,5.370000000000001,18,5.222222222222222
Cluster = 5;N = 100,9,4.37,18,4.944444444444445
Cluster = 5;N = 100,9,4.526315789473685,18,4.388888888888889
Cluster = 5;N = 100,11,5.31,18,5.055555555555555
Cluster = 5;N = 100,12,5.91,18,5
Cluster = 5;N = 100,11,5.51,19,4.894736842105263
Cluster = 5;N = 100,10,4.5858585858585865,18,4.555555555555555
Cluster = 5;N = 100,10,4.6701030927835046,17,4.9411764705882355
Cluster = 5;N = 100,10,4.98989898989899,19,4.526315789473684
Cluster = 5;N = 100,11,5.121212121212122,19,4.631578947368421
Cluster = 5;N = 100,10,4.842105263157895,17,4.411764705882353
Cluster = 5;N = 100,12,5.59,19,4.631578947368421
Cluster = 5;N = 100,11,5.391752577319587,18,4.611111111111111
Cluster = 5;N = 100,10,4.7979797979797985,18,4.777777777777778
Cluster = 5;N = 100,11,5.263736263736264,17,4.705882352941177
Cluster = 5;N = 100,11,5.191919191919192,18,4.888888888888889
Cluster = 5;N = 100,11,5.2299999999999995,19,4.7368421052631575
Cluster = 5;N = 100,9,4.642857142857142,18,4.666666666666667
Cluster = 5;N = 100,11,5.06,19,4.526315789473684
Cluster = 5;N = 100,11,4.99,19,4.7894736842105265
Cluster = 5;N = 100,9,4.469387755102041,18,5
Cluster = 5;N = 100,11,5.05,18,4.666666666666667
Cluster = 5;N = 100,10,4.819999999999999,19,3.5789473684210527
Cluster = 5;N = 100,10,4.857142857142857,18,4.555555555555555
Cluster = 5;N = 100,9,4.59,18,4.555555555555555
Cluster = 5;N = 100,10,4.726315789473684,16,4.6875
Cluster = 5;N = 100,11,4.7700000000000005,18,4.944444444444445
Cluster = 5;N = 100,10,4.8,19,4.684210526315789
Cluster = 5;N = 100,9,4.42,19,4.894736842105263
Cluster = 6;N = 100,9,4.444444444444445,16,5.6875
Cluster = 6;N = 100,11,5.000000000000001,15,5.2
Cluster = 6;N = 100,12,5.930000000000001,16,5
Cluster = 6;N = 100,10,4.858585858585858,16,5.625
Cluster = 6;N = 100,10,4.859999999999999,16,3.9375
Cluster = 6;N = 100,12,5.66,16,5.3125
Cluster = 6;N = 100,10,4.848484848484849,16,5.75
Cluster = 6;N = 100,10,4.5,16,5.5625
Cluster = 6;N = 100,12,5.66,16,5.0625
Cluster = 6;N = 100,11,5.01010101010101,16,5.3125
Cluster = 6;N = 100,10,4.755102040816327,15,5.266666666666667
Cluster = 6;N = 100,10,4.89,16,4.8125
Cluster = 6;N = 100,11,5.24,16,5.6875
Cluster = 6;N = 100,10,4.81,16,4.875
Cluster = 6;N = 100,10,5.029999999999999,16,5.3125
Cluster = 6;N = 100,11,5.343434343434344,16,5.625
Cluster = 6;N = 100,10,4.846938775510204,14,5.928571428571429
Cluster = 6;N = 100,10,4.8989898989899,16,5.3125
Cluster = 6;N = 100,11,5.48,16,5.375
Cluster = 6;N = 100,11,5.262626262626263,15,5.8
Cluster = 6;N = 100,10,4.76,16,5.625
Cluster = 6;N = 100,10,4.85,16,5.1875
Cluster = 6;N = 100,10,4.8500000000000005,16,5.5625
Cluster = 6;N = 100,10,4.6,16,5.4375
Cluster = 6;N = 100,10,4.75,16,5.0625
Cluster = 6;N = 100,10,4.75,16,5.125
Cluster = 6;N = 100,9,4.470000000000001,16,5.25
Cluster = 6;N = 100,10,4.840000000000001,14,6.428571428571429
Cluster = 6;N = 100,10,4.95959595959596,16,5.5
Cluster = 6;N = 100,10,4.73,16,5.8125
Cluster = 6;N = 100,11,5.34,16,4.6875
Cluster = 6;N = 100,10,4.720000000000001,16,5.0625
Cluster = 6;N = 100,10,4.75,16,5.25
Cluster = 6;N = 100,11,5.38,16,5.4375
Cluster = 6;N = 100,9,4.48,16,5.25
Cluster = 6;N = 100,10,4.808080808080808,15,5.733333333333333
Cluster = 6;N = 100,12,5.7299999999999995,16,5.1875
Cluster = 6;N = 100,9,4.505154639175258,14,5.928571428571429
Cluster = 6;N = 100,11,5.05050505050505,16,4.625
Cluster = 6;N = 100,10,4.571428571428571,15,5.533333333333333
Cluster = 5;N = 250,16,7.128,49,4.755102040816326
Cluster = 5;N = 250,17,7.555999999999999,48,4.666666666666667
Cluster = 5;N = 250,17,7.823293172690762,48,5.020833333333333
Cluster = 5;N = 250,15,6.936,49,4.877551020408164
Cluster = 5;N = 250,18,8.472,49,4.816326530612245
Cluster = 5;N = 250,16,7.4799999999999995,49,4.73469387755102
Cluster = 5;N = 250,17,7.483999999999999,49,4.673469387755102
Cluster = 5;N = 250,15,6.690763052208836,48,4.916666666666667
Cluster = 5;N = 250,16,7.120000000000001,48,4.791666666666667
